ID;ProductName;Description;ProductImgURL;Price;Stock;Continued;BrandID;Gender;GenreID;SupplierID;CreatedDate;IsActive
1;Balanced Rock Mont;Özel üretim kumaşı sizin için üretildi;/gif;346.50;21;true;4;1;2;4;25.12.2020;true
2;Gotham Ceket;Soğuğun içinize geçmesine izin vermeyin;/gif;2042.77;10;true;4;2;2;3;25.12.2020;true
3;Günlük Tshirt;Esneklik ve rahatlık;/gif;87.20;40;true;1;1;3;2;25.12.2020;true
4;Predator Generic Tshirt;Agresif tarzı ile sizin için üretildi;/gif;119.20;32;true;1;2;3;1;25.12.2020;true
5;Air Force Shadow Shoe;Yerden bir miktar yükselmenin neresi yanlış?;/gif;629.00;50;true;2;1;4;2;25.12.2020;true
6;Team Hustle Quick Shoe;Koşmak ve koşturmak için üretildi;/gif;224.92;41;true;2;2;4;3;25.12.2020;true
7;Capstories LA Şapka;Güneşten korunmanın en ideal yolu;/gif;19.47;50;true;3;1;5;1;25.12.2020;true
8;Strong Kep;Spora şıklık katmanın en doğru yolu;/gif;109.47;50;true;2;2;5;4;25.12.2020;true
9;AnyTime Outdoor Pantolon;Tırmanış için gereken her şey;/gif;454.00;12;true;5;1;6;4;25.12.2020;true
10;Columbia AI Pantolon;Tırmanış için gereken her şey;/gif;479.99;17;true;5;2;6;3;25.12.2020;true
11;US Polo Şort;Rahatlığı sizin için şekillendirdik;/gif;99.00;45;true;3;1;7;1;25.12.2020;true
12;US Polo Şort;Siz buna değersiniz;/gif;199.00;40;true;3;2;7;3;25.12.2020;true